Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,MySQL Notes for Professionals,2018,various,	GoalKicker.com,"databases,MySQL, programming, SQL",https://drive.google.com/file/d/1BRcQUhOts0d_Hd0fMh4fO6nPe0lwLKK4/view?usp=sharing,"This MySQL Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,NoSQL Technologies: Performance Characteristics and Monitoring,2012,various,Monitis,"databases, paper, performance, RESTful, sysadim",https://drive.google.com/file/d/1QAVa0V1z-YX1pMcxXThNTxOXBdjJOyem/view?usp=sharing,"
This book presents information about NoSQL technologies, specifically performance  characteristics and monitoring."
,,,Oracle Database Notes for Professionals,2018,various,GoalKicker.com,"databases, Oracle, programming",https://drive.google.com/file/d/1TUvLjYmiIHOR4CwBiYv6BBnmrcsS7i_S/view?usp=sharing,"This Oracle Database Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,Readings in Database Systems 5th edition,2015,various,        Self-published,"databases, DBMS, RDBMS, SQL",https://drive.google.com/file/d/14R8CtMPfDFwtxEaS7Kol4wlrS1xvPw8e/view?usp=sharing,"This collection has a goal to surface important long-term lessons and foundational designs, and highlight the new ideas we believe are most novel and relevant. It was done through a mix of classic, traditional papers from the early database literature as well as papers that have been most influential in recent developments, including transaction processing, query processing, advanced analytics, Web data, and language design."
,,,SQL injection,2011,Kenkeiras,        Self-published,"hacking, hacks, security, SQL, SQL Injection",https://drive.google.com/file/d/1H28l4GIQOFwl-7qqhd-tqjn2oe9MTrdM/view?usp=sharing,SQL injection is an intrusive code infiltration method that uses a computer vulnerability present in an application at the input validation level to query a database. This book brings the concept closer to the readers.
,,,SQL Tutorial,2010,various,	Tutorialspoint.com ,"databases, DBMS, SQL",https://drive.google.com/file/d/1Xog4TwV1BMuX6pJUZw-eBIKLmH3aKI1f/view?usp=sharing,The following document can be used as a quick reference for the main queries and relationships that can be established between databases.
,,,SQL Notes for Professionals,2018,various,GoalKicker.com,"databases, DBMS, SQL, programming",https://drive.google.com/file/d/1Qz9dFuzquHAN2k5uEpX-s9pSezyd4ei1/view?usp=sharing,"This SQL Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,"How to create Web sites and applications with HTML, CSS, Javascript, PHP and MySQL",2010,Robert Schifreen,        Self-published,"CSS, HTML, Javascript, My SQL, OHO, web development, toold, web design",https://drive.google.com/file/d/1BfcInAgjSA1kqk_em_K5MSyh-egUgzeV/view?usp=sharing,"The Web Book covers all the technologies that are necessary for the development of complex Web sites, whether they are static or dynamic. In addition to thisit teaches you the most current methods. Follow their instructions and you can rest assured that you are taking the right steps towards a job well done. Programming fashions change frequently and this book can proudly say that it is up to date with the most innovative."
,,Hardware,,,,,,,
,,,704 Electronic Data-Processing Machine,1955,various,IBM,"704, History of Software, IBM, Handbook, programming",https://drive.google.com/file/d/1iV9FQcbSkYb7WVFzoQ0QYSzBnc-Z-l_t/view?usp=sharing,"This operator's manual shows us what the technicians of the time had to work with in what shows today as a jewel as far as the History of Computing is concerned. The book collects aspects such as the details of your CPU, instructions, process diagrams, components such as punch cards and magnetic units, peripherals and an introduction to symbolic programming."
,,,Arduino Programming Notebook,2007,Brian W. Evans,        Self-published,"electronics, hardware, programming, technology",https://drive.google.com/file/d/1zTON7lMC-m78MqOOsDgwjBejVaTcy8f5/view?usp=sharing,"This bookis a beginner's reference to the programming syntax of the Arduino microcontroller and it includes information on program structure, variables, datatypes, arithmetic, constants, flow control, and most of the common functions of the core library. It also includes an appendix with schematics and simple programs for several common tasks."
,,,Arduino in a Nutshell,2015,Jan Borcher,Self-published,"electronics, hardware, programming, technology",https://drive.google.com/file/d/1Dro430a3M3SdLPuSPes051KFnVhXOC7c/view?usp=sharing,"This book will get you started quickly with the Arduino, a family of microcontroller boards used by artist, hackers, hobbyists and other professionals."
,,,Arduino Projects Book,2012,	Scott Fitzgerald,	Scott Fitzgerald,"electronics, hardware, programming, technology",https://drive.google.com/file/d/1Qw8mS9S0TYUzLBGQfKoqaBWOn8ub0WbW/view?usp=sharing,"This book will get you started quickly with the Arduino, a family of microcontroller boards used by artist, hackers, hobbyists and other professionals."
,,,"Arduino Tips, Tricks, and Techniques",2013,Ladyada,        Self-published,"electronics, hardware, programming, technology, USB",https://drive.google.com/file/d/1YJ7aIGiwsvp9W5-obXCQUD6D7n0hH4EH/view?usp=sharing,"This book will get you started quickly with the Arduino, a family of microcontroller boards used by artist, hackers, hobbyists and other professionals."
,,,Raspberry PI: Beginner's Book,2017,"Editor
Russell Barnes
",	MagPi,"electronics, free hardware, hardware, programming, Rapberry Pi, sensors, technology",https://drive.google.com/file/d/12_BNarClcez37qDPaIMv8_C8M-vY-RRl/view?usp=sharing,The official Raspberry Pi Beginner’s book comes with everything you need to get started with Raspberry Pi today (hardware not included with the digital edition). This 116-page book is packed with beginner’s guides to help you master your new Raspberry Pi!
,,,How To Build A Gaming PC,2012,Simon Slangen,makeuseof.com,"games, personal computer",https://drive.google.com/file/d/1axJG71CatvqOa8kEbcTrKM84zdU4Bjxp/view?usp=sharing,"This guide will show you how to select the most important components for a gamer on a budget, paying special attention to the purposes of each."
,,,Computer Organization and Design Fundamentals: Examining Computer Hardware from the Bottom to the Top,2007,David Tarnoff,Self-published,"binary, Boolean algebra, hardware, logic, maths, state machine",https://drive.google.com/file/d/1wACxwK7bKN4runnqjnGEcme9gaaDXcs2/view?usp=sharing,This book will get you started with computer hardware and allow you to approach computer organization and design fundamentals with self-confidence.
,,,Data Storage,2010,Florin Balasa,InTech,"flash, hardware, memory, optical device, RAM, storage",https://drive.google.com/file/d/11U_WzBocmMMKnZUMQvm4tCQ61AH6UZ4Z/view?usp=sharing,"This book presents several advances in different areas of research related to data storage, recording and erasure.All the storage systems have been thoroughly investigated and the conclusions reached in this book."
,,,Design and build a Raspberry Pi robot,2014,Stewart Watkiss,Self-published,"GPIO, programming, Python, Raspberry PI, robotics",https://drive.google.com/file/d/12vcSCjTIf02y6NWNgG0hrz66xzI-rBxv/view?usp=sharing,"This project is designed as a way of learning physical computing (the combination of computer programming with electronic circuits) in a fun way. This guide is a detailed guide intended for young makers, teachers, computing or STEM club leaders, or parents."
,,,Discovering the STM32 Microcontroller,2016,Geoffrey Brown,Self-published,"electronics, GPIO, hardware, LCD, microcontrollers, programming, STM32",https://drive.google.com/file/d/1s-Xgi5gsnRp42ALTqcOnAUmGxj-gPqBY/view?usp=sharing,This book is intended as a hands-on manual for learning how to design systems using the STM32 F1 family of micro-controllers. The focus of this book is on developing code to utilize the various peripherals available in STM32 F1 micro-controllers and in particular the STM32VL Discovery board. 
,,,Embedded Firmware Solutions,2015,"Jiming Sun
Vincent Zimmer
MArc Jones
Stefan Reinauer",	Apress Open,"firmware @en, hardware, Intel. software, UEFI @en",https://drive.google.com/file/d/1ccta-y0CPBLNm6Vr_OHyT6uCVb1rwehh/view?usp=sharing,"Embedded Firmware Solutions is the perfect introduction and daily-use field guide--for the thousands of firmware designers, hardware engineers, architects, managers, and developers--to Intel’s new firmware direction (including Quark coverage), showing how to integrate Intel® Architecture designs into their plans."
,,,Laboratory Manual for Embedded Controllers Using C and Arduino / 2E,2018,James M. Fiore,	Self-published,"C, computer programming, hardware",https://drive.google.com/file/d/1L7-BXjFvuHpKzWsALp3oVtmwrRzhCoV4/view?usp=sharing,"This manual is intended for use in an introductory microprocessor or embedded controller course and is appropriate for two and four year electrical engineering technology curriculums. It utilizes the C programming language and the inexpensive, open-source Arduino hardware platform, specifically, the Arduino Uno which uses an Atmel ATmega 328P processor. "
